time	x	y	pressure	tiltX	tiltY	azimuth	sidePressure	rotation
349.907229080	163	367	0	0	0	0	0	0
349.924554850	164	363	0	0	0	0	0	0
349.941880620	166	360	0	0	0	0	0	0
349.959206390	168	356	0	0	0	0	0	0
349.976532160	172	354	0	0	0	0	0	0
349.993857930	172	350	0	0	0	0	0	0
350.011183700	174	347	0	0	0	0	0	0
350.028509470	176	343	0	0	0	0	0	0
350.045835240	178	340	0	0	0	0	0	0
Pause
351.045835240	178	340	0	0	0	0	0	0
351.063161010	180	337	0	0	0	0	0	0
351.080486780	183	334	0	0	0	0	0	0
351.097812550	185	330	0	0	0	0	0	0
351.115138320	186	327	0	0	0	0	0	0
351.132464090	189	326	0	0	0	0	0	0
351.149789860	190	322	0	0	0	0	0	0
351.167115630	191	318	0	0	0	0	0	0
351.184441400	194	318	0	0	0	0	0	0
351.201767170	195	314	0	0	0	0	0	0
351.219092940	197	311	0	0	0	0	0	0
351.236418710	199	308	0	0	0	0	0	0
351.253744480	201	305	0	0	0	0	0	0
351.271070250	203	302	0	0	0	0	0	0
Pause
352.271070250	203	302	0	0	0	0	0	0
352.288396020	205	301	0	0	0	0	0	0
352.305721790	205	298	0	0	0	0	0	0
352.323047560	207	294	0	0	0	0	0	0
352.340373330	211	292	0	0	0	0	0	0
352.357699100	212	288	0	0	0	0	0	0
352.375024870	213	285	0	0	0	0	0	0
352.392350640	216	281	0	0	0	0	0	0
352.409676410	218	278	0	0	0	0	0	0
352.427002180	220	275	0	0	0	0	0	0
352.444327950	223	272	0	0	0	0	0	0
352.461653720	226	270	0	0	0	0	0	0
352.478979490	228	266	0	0	0	0	0	0
352.496305260	229	263	0	0	0	0	0	0
Pause
353.496305260	229	263	0	0	0	0	0	0
353.513631030	231	260	0	0	0	0	0	0
353.530956800	234	257	0	0	0	0	0	0
353.548282570	237	254	0	0	0	0	0	0
353.565608340	240	251	0	0	0	0	0	0
353.582934110	242	248	0	0	0	0	0	0
353.600259880	245	245	0	0	0	0	0	0
353.617585650	248	242	0	0	0	0	0	0
353.634911420	250	239	0	0	0	0	0	0
353.652237190	253	236	0	0	0	0	0	0
353.669562960	256	233	0	0	0	0	0	0
353.686888730	259	231	0	0	0	0	0	0
353.704214500	262	228	0	0	0	0	0	0
353.721540270	264	225	0	0	0	0	0	0
Pause
354.721540270	264	225	0	0	0	0	0	0
354.738866040	267	223	0	0	0	0	0	0
354.756191810	270	220	0	0	0	0	0	0
354.773517580	273	218	0	0	0	0	0	0
354.790843350	276	215	0	0	0	0	0	0
354.808169120	279	212	0	0	0	0	0	0
354.825494890	282	210	0	0	0	0	0	0
354.842820660	286	207	0	0	0	0	0	0
354.860146430	289	205	0	0	0	0	0	0
354.877472200	292	202	0	0	0	0	0	0
354.894797970	295	200	0	0	0	0	0	0
354.912123740	298	197	0	0	0	0	0	0
354.929449510	301	195	0	0	0	0	0	0
354.946775280	304	193	0	0	0	0	0	0
Pause
355.946775280	304	193	0	0	0	0	0	0
355.964101050	307	191	0	0	0	0	0	0
355.981426820	311	188	0	0	0	0	0	0
355.998752590	314	186	0	0	0	0	0	0
356.016078360	317	184	0	0	0	0	0	0
356.033404130	321	182	0	0	0	0	0	0
356.050729900	324	180	0	0	0	0	0	0
356.068055670	328	178	0	0	0	0	0	0
356.085381440	332	176	0	0	0	0	0	0
356.102707210	335	175	0	0	0	0	0	0
356.120032980	339	173	0	0	0	0	0	0
356.137358750	342	171	0	0	0	0	0	0
356.154684520	346	169	0	0	0	0	0	0
356.172010290	349	167	0	0	0	0	0	0
Pause
357.172010290	349	167	0	0	0	0	0	0
357.189336060	352	166	0	0	0	0	0	0
357.206661830	356	163	0	0	0	0	0	0
357.223987600	360	163	0	0	0	0	0	0
357.241313370	363	161	0	0	0	0	0	0
357.258639140	367	160	0	0	0	0	0	0
357.275964910	371	158	0	0	0	0	0	0
357.293290680	374	156	0	0	0	0	0	0
357.310616450	375	157	0	0	0	0	0	0
357.327942220	373	158	0	0	0	0	0	0
357.345267990	372	161	0	0	0	0	0	0
357.362593760	368	163	0	0	0	0	0	0
357.379919530	365	164	0	0	0	0	0	0
357.397245300	361	166	0	0	0	0	0	0
Pause
358.397245300	361	166	0	0	0	0	0	0
358.414571070	358	167	0	0	0	0	0	0
358.431896840	354	169	0	0	0	0	0	0
358.449222610	351	171	0	0	0	0	0	0
358.466548380	347	173	0	0	0	0	0	0
358.483874150	344	175	0	0	0	0	0	0
358.501199920	340	177	0	0	0	0	0	0
358.518525690	336	178	0	0	0	0	0	0
358.535851460	333	180	0	0	0	0	0	0
358.553177230	331	182	0	0	0	0	0	0
358.570503000	327	184	0	0	0	0	0	0
358.587828770	324	186	0	0	0	0	0	0
358.605154540	320	189	0	0	0	0	0	0
358.622480310	317	190	0	0	0	0	0	0
Pause
359.622480310	317	190	0	0	0	0	0	0
359.639806080	314	193	0	0	0	0	0	0
359.657131850	311	195	0	0	0	0	0	0
359.674457620	308	197	0	0	0	0	0	0
359.691783390	304	200	0	0	0	0	0	0
359.709109160	301	202	0	0	0	0	0	0
359.726434930	298	204	0	0	0	0	0	0
359.743760700	295	207	0	0	0	0	0	0
359.761086470	292	209	0	0	0	0	0	0
359.778412240	289	212	0	0	0	0	0	0
359.795738010	286	215	0	0	0	0	0	0
359.813063780	283	217	0	0	0	0	0	0
359.830389550	280	220	0	0	0	0	0	0
359.847715320	277	222	0	0	0	0	0	0
Pause
360.847715320	277	222	0	0	0	0	0	0
360.865041090	274	225	0	0	0	0	0	0
360.882366860	271	228	0	0	0	0	0	0
360.899692630	269	230	0	0	0	0	0	0
360.917018400	266	233	0	0	0	0	0	0
360.934344170	263	236	0	0	0	0	0	0
360.951669940	260	238	0	0	0	0	0	0
360.968995710	257	241	0	0	0	0	0	0
360.986321480	254	244	0	0	0	0	0	0
361.003647250	251	247	0	0	0	0	0	0
361.020973020	248	249	0	0	0	0	0	0
361.038298790	245	252	0	0	0	0	0	0
361.055624560	243	255	0	0	0	0	0	0
361.072950330	240	258	0	0	0	0	0	0
Pause
362.072950330	240	258	0	0	0	0	0	0
362.090276100	238	261	0	0	0	0	0	0
362.107601870	235	264	0	0	0	0	0	0
362.124927640	233	267	0	0	0	0	0	0
362.142253410	230	270	0	0	0	0	0	0
362.159579180	228	274	0	0	0	0	0	0
362.176904950	226	277	0	0	0	0	0	0
362.194230720	223	280	0	0	0	0	0	0
362.211556490	221	283	0	0	0	0	0	0
362.228882260	219	287	0	0	0	0	0	0
